asset,type,classification,source,derivation,usage_location,alt_text,notes
"Brooklyn Midnight Door Sample (attachment 99)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Brooklyn collection finish swatch","Brooklyn Midnight cabinet door sample","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Brooklyn White Door Sample (attachment 100)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Brooklyn collection finish swatch","Brooklyn White cabinet door sample","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Brooklyn Pearl Door Sample (attachment 101)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Brooklyn collection finish swatch","Brooklyn Pearl cabinet door sample","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Brooklyn Slate Door Sample (attachment 102)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Brooklyn collection finish swatch; homepage door strip","Brooklyn Slate cabinet door sample","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Shaker White Door Sample (attachment 103)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Shaker collection finish swatch","Shaker White cabinet door sample","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Shaker Sand Door Sample (attachment 104)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Shaker collection finish swatch","Shaker Sand cabinet door sample","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Shaker Kodiak Door Sample (attachment 105)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Shaker collection finish swatch; homepage door strip","Shaker Kodiak cabinet door sample","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Shaker Moss Door Sample (attachment 106)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Shaker collection finish swatch","Shaker Moss cabinet door sample","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Oslo White Door Sample (attachment 107)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Oslo collection finish swatch","Oslo White Slim Shaker cabinet door sample","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Oslo Oak Door Sample (attachment 108)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Oslo collection finish swatch","Oslo Oak Slim Shaker cabinet door sample","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Oslo Walnut Door Sample (attachment 109)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Oslo collection finish swatch; homepage door strip","OSLO Classic Walnut Slim Shaker cabinet door sample","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Brooklyn Fawn Kitchen (attachment 110)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Brooklyn collection gallery","Brooklyn Fawn kitchen cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Brooklyn Fawn Bathroom (attachment 111)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Brooklyn collection gallery","Brooklyn Fawn bathroom vanity cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Brooklyn Gray Home Office (attachment 112)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Brooklyn collection gallery","Brooklyn Gray cabinetry in a home office","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Brooklyn Gray Bathroom (attachment 113)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Brooklyn collection gallery","Brooklyn Gray bathroom vanity cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Brooklyn Midnight Kitchen (attachment 114)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Brooklyn collection gallery; Kitchen Cabinets page hero image (RC4A, page ID 10)","Brooklyn Midnight kitchen cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Brooklyn Midnight Bathroom (attachment 115)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Brooklyn collection gallery","Brooklyn Midnight bathroom vanity cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Brooklyn White Kitchen (attachment 116)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Brooklyn collection gallery","Brooklyn White kitchen cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Brooklyn White Kitchen 2 (attachment 117)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Brooklyn collection gallery; Kitchen Cabinets page inline gallery","Brooklyn White kitchen cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Brooklyn Pearl Kitchen (attachment 118)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Brooklyn collection gallery + featured image; homepage two-path ""In-Stock Cabinetry"" card","Brooklyn Pearl kitchen cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Brooklyn Pearl Bathroom (attachment 119)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Brooklyn collection gallery; Bathroom Cabinets & Vanities page hero image (RC4B, page ID 11); 'Explore Cabinet Styles for Your Bathroom' Brooklyn card (RC4B-POLISH)","Brooklyn Pearl bathroom vanity cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Brooklyn Pearl Home Office (attachment 120)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Brooklyn collection gallery; homepage Custom Spaces ""Home Office"" card; Custom Spaces hub ""Home Office"" card and Home Office page hero/featured image (RC4C, page ID 20); Home Office page ""Home Office Styles We Design"" -- ""Shaker / Transitional"" card (RC4C-POLISH, reused as the third of three style examples)","Brooklyn Pearl home office cabinetry","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Brooklyn Slate Kitchen (attachment 121)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Brooklyn collection gallery (no longer used on the Kitchen Cabinets page as of RC4A-polish -- superseded there by attachment 122)","Brooklyn Slate kitchen cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Brooklyn Slate Kitchen 2 (attachment 122)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Brooklyn collection gallery; Kitchen Cabinets page 'Two Ways to Build Your Kitchen' custom-cabinetry card (RC4A-polish, page ID 10 -- replaced attachment 121, chosen for its wall-to-wall/tall built-in appliance surround)","Brooklyn Slate kitchen cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Shaker White Kitchen (attachment 123)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Shaker collection gallery; Kitchen Cabinets page 'Two Ways to Build Your Kitchen' in-stock card (RC4A, page ID 10)","Shaker White kitchen cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Shaker White Kitchen 2 (attachment 124)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Shaker collection gallery","Shaker White kitchen cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Shaker Sand Kitchen (attachment 125)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Shaker collection gallery","Shaker Sand kitchen cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Shaker Sand Kitchen 2 (attachment 126)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Shaker collection gallery","Shaker Sand kitchen cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Shaker Kodiak Kitchen (attachment 127)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Shaker collection gallery + featured image","Shaker Kodiak kitchen cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Shaker Kodiak Bathroom (attachment 128)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Shaker collection gallery; Bathroom Cabinets & Vanities page 'Two Ways to Build Your Bathroom' custom-cabinetry card (RC4B, page ID 11)","Shaker Kodiak bathroom vanity cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Shaker Moss Kitchen (attachment 129)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Shaker collection gallery","Shaker Moss kitchen cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Shaker Moss Bathroom (attachment 130)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Shaker collection gallery; Bathroom Cabinets & Vanities page 'Explore Cabinet Styles for Your Bathroom' Shaker card (RC4B-POLISH, page ID 11 -- chosen over attachment 128 for a stronger bathroom composition)","Shaker Moss bathroom vanity cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Oslo White Kitchen (attachment 131)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Oslo collection gallery; Kitchen Cabinets page inline gallery + featured image","Oslo White Slim Shaker kitchen cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Oslo White Bathroom (attachment 132)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Oslo collection gallery","Oslo White Slim Shaker bathroom vanity cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Oslo Oak Kitchen (attachment 133)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Oslo collection gallery","Oslo Oak Slim Shaker kitchen cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
"Oslo Oak Bathroom (attachment 134)","photo","dealer-provided lifestyle/product media","Owner-supplied ZEUS_RC2_MEDIA_CURATED.zip (Downloads folder), file already neutrally named by the source package -- see ASSET_MANIFEST.csv (not committed; internal-only, contains original dealer folder/file names) for the original reference","Visually inspected before import (no manufacturer branding/watermark found); imported via wp_insert_attachment + wp_generate_attachment_metadata; alt text set at import time","Oslo collection gallery; Bathroom Cabinets & Vanities page 'Explore Cabinet Styles for Your Bathroom' Oslo card (RC4B-POLISH, page ID 11 -- chosen over attachment 137 for a stronger bathroom composition and clearer view of the narrow-rail Slim Shaker door profile)","Oslo Oak Slim Shaker bathroom vanity cabinets","Not a ZEUS completed-project claim -- collection/service-page presentation only, per MEDIA_USE_RULES.txt rule 7. Not added to Portfolio."
